Solution via 4th Order Runge-Kutta Method.
t_inicial = 0, total steps = 1000, t_final = 50
Stept X Y Z
266 13.3 0.0949078 0.0940056 0.00360328
267 13.35 0.0944578 0.0935602 0.00356911
268 13.4 0.0940101 0.093117 0.00353527
269 13.45 0.0935647 0.0926761 0.00350176
270 13.5 0.0931216 0.0922375 0.00346859
271 13.55 0.0926806 0.091801 0.00343573
272 13.6 0.092242 0.0913668 0.00340321
273 13.65 0.0918055 0.0909347 0.003371
274 13.7 0.0913712 0.0905049 0.0033391
275 13.75 0.0909391 0.0900771 0.00330752
276 13.8 0.0905092 0.0896516 0.00327625
277 13.85 0.0900815 0.0892282 0.00324528
278 13.9 0.0896559 0.0888069 0.00321462
279 13.95 0.0892324 0.0883877 0.00318426
280 14 0.0888111 0.0879706 0.00315419
281 14.05 0.0883919 0.0875556 0.00312442
282 14.1 0.0879748 0.0871427 0.00309493
283 14.15 0.0875598 0.0867318 0.00306574
284 14.2 0.0871468 0.086323 0.00303682
285 14.25 0.086736 0.0859163 0.00300819
286 14.3 0.0863272 0.0855116 0.00297984
287 14.35 0.0859204 0.0851088 0.00295176
288 14.4 0.0855156 0.0847081 0.00292396
289 14.45 0.0851129 0.0843094 0.00289643
290 14.5 0.0847122 0.0839127 0.00286916
291 14.55 0.0843134 0.0835179 0.00284216
292 14.6 0.0839167 0.0831251 0.00281542
293 14.65 0.0835219 0.0827343 0.00278894
294 14.7 0.0831291 0.0823454 0.00276271
295 14.75 0.0827382 0.0819584 0.00273674
296 14.8 0.0823493 0.0815733 0.00271102
297 14.85 0.0819623 0.0811902 0.00268555
298 14.9 0.0815772 0.0808089 0.00266033
299 14.95 0.081194 0.0804295 0.00263535
300 15 0.0808127 0.080052 0.00261061
301 15.05 0.0804333 0.0796764 0.00258611
302 15.1 0.0800558 0.0793026 0.00256184
303 15.15 0.0796801 0.0789306 0.00253781
304 15.2 0.0793063 0.0785605 0.00251401
305 15.25 0.0789343 0.0781922 0.00249044
306 15.3 0.0785642 0.0778257 0.0024671
307 15.35 0.0781958 0.077461 0.00244398
308 15.4 0.0778293 0.0770981 0.00242108
309 15.45 0.0774646 0.076737 0.00239841
310 15.5 0.0771017 0.0763776 0.00237595
311 15.55 0.0767406 0.0760201 0.0023537
312 15.6 0.0763812 0.0756642 0.00233167
313 15.65 0.0760236 0.0753101 0.00230986
314 15.7 0.0756677 0.0749578 0.00228825
315 15.75 0.0753136 0.0746071 0.00226684
